Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 416 | Segmento: BSS | Pagina: 26 | Offset: 0 | Endereço Fisico: 416
Endereço Virtual: 432 | Segmento: BSS | Pagina: 27 | Offset: 0 | Endereço Fisico: 432
Endereço Virtual: 448 | Segmento: BSS | Pagina: 28 | Offset: 0 | Endereço Fisico: 448
Endereço Virtual: 464 | Segmento: BSS | Pagina: 29 | Offset: 0 | Endereço Fisico: 464
Endereço Virtual: 480 | Segmento: BSS | Pagina: 30 | Offset: 0 | Endereço Fisico: 480
Endereço Virtual: 496 | Segmento: BSS | Pagina: 31 | Offset: 0 | Endereço Fisico: 496
Endereço Virtual: 512 | Segmento: BSS | Pagina: 32 | Offset: 0 | Endereço Fisico: 512
Endereço Virtual: 528 | Segmento: BSS | Pagina: 33 | Offset: 0 | Endereço Fisico: 528
Endereço Virtual: 544 | Segmento: BSS | Pagina: 34 | Offset: 0 | Endereço Fisico: 544
Endereço Virtual: 560 | Segmento: BSS | Pagina: 35 | Offset: 0 | Endereço Fisico: 560
Endereço Virtual: 576 | Segmento: BSS | Pagina: 36 | Offset: 0 | Endereço Fisico: 576
Endereço Virtual: 592 | Segmento: BSS | Pagina: 37 | Offset: 0 | Endereço Fisico: 592
Endereço Virtual: 608 | Segmento: BSS | Pagina: 38 | Offset: 0 | Endereço Fisico: 608
Endereço Virtual: 624 | Segmento: BSS | Pagina: 39 | Offset: 0 | Endereço Fisico: 624
Endereço Virtual: 640 | Segmento: BSS | Pagina: 40 | Offset: 0 | Endereço Fisico: 640
Endereço Virtual: 656 | Segmento: BSS | Pagina: 41 | Offset: 0 | Endereço Fisico: 656
Endereço Virtual: 672 | Segmento: BSS | Pagina: 42 | Offset: 0 | Endereço Fisico: 672
Endereço Virtual: 688 | Segmento: BSS | Pagina: 43 | Offset: 0 | Endereço Fisico: 688
Endereço Virtual: 704 | Segmento: BSS | Pagina: 44 | Offset: 0 | Endereço Fisico: 704
Endereço Virtual: 720 | Segmento: BSS | Pagina: 45 | Offset: 0 | Endereço Fisico: 720
Endereço Virtual: 736 | Segmento: BSS | Pagina: 46 | Offset: 0 | Endereço Fisico: 736
Endereço Virtual: 752 | Segmento: BSS | Pagina: 47 | Offset: 0 | Endereço Fisico: 752
Endereço Virtual: 768 | Segmento: BSS | Pagina: 48 | Offset: 0 | Endereço Fisico: 768
Endereço Virtual: 784 | Segmento: BSS | Pagina: 49 | Offset: 0 | Endereço Fisico: 784
Endereço Virtual: 800 | Segmento: BSS | Pagina: 50 | Offset: 0 | Endereço Fisico: 800
Endereço Virtual: 816 | Segmento: BSS | Pagina: 51 | Offset: 0 | Endereço Fisico: 816
Endereço Virtual: 832 | Segmento: BSS | Pagina: 52 | Offset: 0 | Endereço Fisico: 832
Endereço Virtual: 848 | Segmento: BSS | Pagina: 53 | Offset: 0 | Endereço Fisico: 848
Endereço Virtual: 864 | Segmento: BSS | Pagina: 54 | Offset: 0 | Endereço Fisico: 864
Endereço Virtual: 880 | Segmento: BSS | Pagina: 55 | Offset: 0 | Endereço Fisico: 880
Endereço Virtual: 896 | Segmento: BSS | Pagina: 56 | Offset: 0 | Endereço Fisico: 896
Endereço Virtual: 912 | Segmento: BSS | Pagina: 57 | Offset: 0 | Endereço Fisico: 912
Endereço Virtual: 928 | Segmento: BSS | Pagina: 58 | Offset: 0 | Endereço Fisico: 928
Endereço Virtual: 944 | Segmento: BSS | Pagina: 59 | Offset: 0 | Endereço Fisico: 944
Endereço Virtual: 960 | Segmento: BSS | Pagina: 60 | Offset: 0 | Endereço Fisico: 960
Endereço Virtual: 976 | Segmento: BSS | Pagina: 61 | Offset: 0 | Endereço Fisico: 976
Endereço Virtual: 992 | Segmento: BSS | Pagina: 62 | Offset: 0 | Endereço Fisico: 992
Endereço Virtual: 1008 | Segmento: BSS | Pagina: 63 | Offset: 0 | Endereço Fisico: 1008
Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 16 | Segmento: TEXT | Pagina: 1 | Offset: 0 | Endereço Fisico: 16
Endereço Virtual: 32 | Segmento: TEXT | Pagina: 2 | Offset: 0 | Endereço Fisico: 32
Endereço Virtual: 48 | Segmento: TEXT | Pagina: 3 | Offset: 0 | Endereço Fisico: 48
Endereço Virtual: 64 | Segmento: TEXT | Pagina: 4 | Offset: 0 | Endereço Fisico: 64
Endereço Virtual: 80 | Segmento: TEXT | Pagina: 5 | Offset: 0 | Endereço Fisico: 80
Endereço Virtual: 96 | Segmento: TEXT | Pagina: 6 | Offset: 0 | Endereço Fisico: 96
Endereço Virtual: 112 | Segmento: TEXT | Pagina: 7 | Offset: 0 | Endereço Fisico: 112
Endereço Virtual: 128 | Segmento: DATA | Pagina: 8 | Offset: 0 | Endereço Fisico: 128
Endereço Virtual: 144 | Segmento: DATA | Pagina: 9 | Offset: 0 | Endereço Fisico: 144
Endereço Virtual: 160 | Segmento: DATA | Pagina: 10 | Offset: 0 | Endereço Fisico: 160
Endereço Virtual: 176 | Segmento: DATA | Pagina: 11 | Offset: 0 | Endereço Fisico: 176
Endereço Virtual: 192 | Segmento: DATA | Pagina: 12 | Offset: 0 | Endereço Fisico: 192
Endereço Virtual: 208 | Segmento: DATA | Pagina: 13 | Offset: 0 | Endereço Fisico: 208
Endereço Virtual: 224 | Segmento: DATA | Pagina: 14 | Offset: 0 | Endereço Fisico: 224
Endereço Virtual: 240 | Segmento: DATA | Pagina: 15 | Offset: 0 | Endereço Fisico: 240
Endereço Virtual: 256 | Segmento: STACK | Pagina: 16 | Offset: 0 | Endereço Fisico: 256
Endereço Virtual: 272 | Segmento: STACK | Pagina: 17 | Offset: 0 | Endereço Fisico: 272
Endereço Virtual: 288 | Segmento: STACK | Pagina: 18 | Offset: 0 | Endereço Fisico: 288
Endereço Virtual: 304 | Segmento: STACK | Pagina: 19 | Offset: 0 | Endereço Fisico: 304
Endereço Virtual: 320 | Segmento: STACK | Pagina: 20 | Offset: 0 | Endereço Fisico: 320
Endereço Virtual: 336 | Segmento: STACK | Pagina: 21 | Offset: 0 | Endereço Fisico: 336
Endereço Virtual: 352 | Segmento: STACK | Pagina: 22 | Offset: 0 | Endereço Fisico: 352
Endereço Virtual: 368 | Segmento: STACK | Pagina: 23 | Offset: 0 | Endereço Fisico: 368
Endereço Virtual: 384 | Segmento: BSS | Pagina: 24 | Offset: 0 | Endereço Fisico: 384
Endereço Virtual: 400 | Segmento: BSS | Pagina: 25 | Offset: 0 | Endereço Fisico: 400
Endereço Virtual: 416 | Segmento: BSS | Pagina: 26 | Offset: 0 | Endereço Fisico: 416
Endereço Virtual: 432 | Segmento: BSS | Pagina: 27 | Offset: 0 | Endereço Fisico: 432
Endereço Virtual: 448 | Segmento: BSS | Pagina: 28 | Offset: 0 | Endereço Fisico: 448
Endereço Virtual: 464 | Segmento: BSS | Pagina: 29 | Offset: 0 | Endereço Fisico: 464
Endereço Virtual: 480 | Segmento: BSS | Pagina: 30 | Offset: 0 | Endereço Fisico: 480
Endereço Virtual: 496 | Segmento: BSS | Pagina: 31 | Offset: 0 | Endereço Fisico: 496
Endereço Virtual: 512 | Segmento: BSS | Pagina: 32 | Offset: 0 | Endereço Fisico: 512
Endereço Virtual: 528 | Segmento: BSS | Pagina: 33 | Offset: 0 | Endereço Fisico: 528
Endereço Virtual: 544 | Segmento: BSS | Pagina: 34 | Offset: 0 | Endereço Fisico: 544
Endereço Virtual: 560 | Segmento: BSS | Pagina: 35 | Offset: 0 | Endereço Fisico: 560
Endereço Virtual: 576 | Segmento: BSS | Pagina: 36 | Offset: 0 | Endereço Fisico: 576
Endereço Virtual: 592 | Segmento: BSS | Pagina: 37 | Offset: 0 | Endereço Fisico: 592
Endereço Virtual: 608 | Segmento: BSS | Pagina: 38 | Offset: 0 | Endereço Fisico: 608
Endereço Virtual: 624 | Segmento: BSS | Pagina: 39 | Offset: 0 | Endereço Fisico: 624
Endereço Virtual: 640 | Segmento: BSS | Pagina: 40 | Offset: 0 | Endereço Fisico: 640
Endereço Virtual: 656 | Segmento: BSS | Pagina: 41 | Offset: 0 | Endereço Fisico: 656
Endereço Virtual: 672 | Segmento: BSS | Pagina: 42 | Offset: 0 | Endereço Fisico: 672
Endereço Virtual: 688 | Segmento: BSS | Pagina: 43 | Offset: 0 | Endereço Fisico: 688
Endereço Virtual: 704 | Segmento: BSS | Pagina: 44 | Offset: 0 | Endereço Fisico: 704
Endereço Virtual: 720 | Segmento: BSS | Pagina: 45 | Offset: 0 | Endereço Fisico: 720
Endereço Virtual: 736 | Segmento: BSS | Pagina: 46 | Offset: 0 | Endereço Fisico: 736
Endereço Virtual: 752 | Segmento: BSS | Pagina: 47 | Offset: 0 | Endereço Fisico: 752
Endereço Virtual: 768 | Segmento: BSS | Pagina: 48 | Offset: 0 | Endereço Fisico: 768
Endereço Virtual: 784 | Segmento: BSS | Pagina: 49 | Offset: 0 | Endereço Fisico: 784
Endereço Virtual: 800 | Segmento: BSS | Pagina: 50 | Offset: 0 | Endereço Fisico: 800
Endereço Virtual: 816 | Segmento: BSS | Pagina: 51 | Offset: 0 | Endereço Fisico: 816
Endereço Virtual: 832 | Segmento: BSS | Pagina: 52 | Offset: 0 | Endereço Fisico: 832
Endereço Virtual: 848 | Segmento: BSS | Pagina: 53 | Offset: 0 | Endereço Fisico: 848
Endereço Virtual: 864 | Segmento: BSS | Pagina: 54 | Offset: 0 | Endereço Fisico: 864
Endereço Virtual: 880 | Segmento: BSS | Pagina: 55 | Offset: 0 | Endereço Fisico: 880
Endereço Virtual: 896 | Segmento: BSS | Pagina: 56 | Offset: 0 | Endereço Fisico: 896
Endereço Virtual: 912 | Segmento: BSS | Pagina: 57 | Offset: 0 | Endereço Fisico: 912
Endereço Virtual: 928 | Segmento: BSS | Pagina: 58 | Offset: 0 | Endereço Fisico: 928
Endereço Virtual: 944 | Segmento: BSS | Pagina: 59 | Offset: 0 | Endereço Fisico: 944
Endereço Virtual: 960 | Segmento: BSS | Pagina: 60 | Offset: 0 | Endereço Fisico: 960
Endereço Virtual: 976 | Segmento: BSS | Pagina: 61 | Offset: 0 | Endereço Fisico: 976
Endereço Virtual: 992 | Segmento: BSS | Pagina: 62 | Offset: 0 | Endereço Fisico: 992
Endereço Virtual: 1008 | Segmento: BSS | Pagina: 63 | Offset: 0 | Endereço Fisico: 1008
Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 16 | Segmento: TEXT | Pagina: 1 | Offset: 0 | Endereço Fisico: 16
Endereço Virtual: 32 | Segmento: TEXT | Pagina: 2 | Offset: 0 | Endereço Fisico: 32
Endereço Virtual: 48 | Segmento: TEXT | Pagina: 3 | Offset: 0 | Endereço Fisico: 48
Endereço Virtual: 64 | Segmento: TEXT | Pagina: 4 | Offset: 0 | Endereço Fisico: 64
Endereço Virtual: 80 | Segmento: TEXT | Pagina: 5 | Offset: 0 | Endereço Fisico: 80
Endereço Virtual: 96 | Segmento: TEXT | Pagina: 6 | Offset: 0 | Endereço Fisico: 96
Endereço Virtual: 112 | Segmento: TEXT | Pagina: 7 | Offset: 0 | Endereço Fisico: 112
Endereço Virtual: 128 | Segmento: DATA | Pagina: 8 | Offset: 0 | Endereço Fisico: 128
Endereço Virtual: 144 | Segmento: DATA | Pagina: 9 | Offset: 0 | Endereço Fisico: 144
Endereço Virtual: 160 | Segmento: DATA | Pagina: 10 | Offset: 0 | Endereço Fisico: 160
Endereço Virtual: 176 | Segmento: DATA | Pagina: 11 | Offset: 0 | Endereço Fisico: 176
Endereço Virtual: 192 | Segmento: DATA | Pagina: 12 | Offset: 0 | Endereço Fisico: 192
Endereço Virtual: 208 | Segmento: DATA | Pagina: 13 | Offset: 0 | Endereço Fisico: 208
Endereço Virtual: 224 | Segmento: DATA | Pagina: 14 | Offset: 0 | Endereço Fisico: 224
Endereço Virtual: 240 | Segmento: DATA | Pagina: 15 | Offset: 0 | Endereço Fisico: 240
Endereço Virtual: 256 | Segmento: STACK | Pagina: 16 | Offset: 0 | Endereço Fisico: 256
Endereço Virtual: 272 | Segmento: STACK | Pagina: 17 | Offset: 0 | Endereço Fisico: 272
Endereço Virtual: 288 | Segmento: STACK | Pagina: 18 | Offset: 0 | Endereço Fisico: 288
Endereço Virtual: 304 | Segmento: STACK | Pagina: 19 | Offset: 0 | Endereço Fisico: 304
Endereço Virtual: 320 | Segmento: STACK | Pagina: 20 | Offset: 0 | Endereço Fisico: 320
Endereço Virtual: 336 | Segmento: STACK | Pagina: 21 | Offset: 0 | Endereço Fisico: 336
Endereço Virtual: 352 | Segmento: STACK | Pagina: 22 | Offset: 0 | Endereço Fisico: 352
Endereço Virtual: 368 | Segmento: STACK | Pagina: 23 | Offset: 0 | Endereço Fisico: 368
Endereço Virtual: 384 | Segmento: BSS | Pagina: 24 | Offset: 0 | Endereço Fisico: 384
Endereço Virtual: 400 | Segmento: BSS | Pagina: 25 | Offset: 0 | Endereço Fisico: 400
Endereço Virtual: 416 | Segmento: BSS | Pagina: 26 | Offset: 0 | Endereço Fisico: 416
Endereço Virtual: 432 | Segmento: BSS | Pagina: 27 | Offset: 0 | Endereço Fisico: 432
Endereço Virtual: 448 | Segmento: BSS | Pagina: 28 | Offset: 0 | Endereço Fisico: 448
Endereço Virtual: 464 | Segmento: BSS | Pagina: 29 | Offset: 0 | Endereço Fisico: 464
Endereço Virtual: 480 | Segmento: BSS | Pagina: 30 | Offset: 0 | Endereço Fisico: 480
Endereço Virtual: 496 | Segmento: BSS | Pagina: 31 | Offset: 0 | Endereço Fisico: 496
Endereço Virtual: 512 | Segmento: BSS | Pagina: 32 | Offset: 0 | Endereço Fisico: 512
Endereço Virtual: 528 | Segmento: BSS | Pagina: 33 | Offset: 0 | Endereço Fisico: 528
Endereço Virtual: 544 | Segmento: BSS | Pagina: 34 | Offset: 0 | Endereço Fisico: 544
Endereço Virtual: 560 | Segmento: BSS | Pagina: 35 | Offset: 0 | Endereço Fisico: 560
Endereço Virtual: 576 | Segmento: BSS | Pagina: 36 | Offset: 0 | Endereço Fisico: 576
Endereço Virtual: 592 | Segmento: BSS | Pagina: 37 | Offset: 0 | Endereço Fisico: 592
Endereço Virtual: 608 | Segmento: BSS | Pagina: 38 | Offset: 0 | Endereço Fisico: 608
Endereço Virtual: 624 | Segmento: BSS | Pagina: 39 | Offset: 0 | Endereço Fisico: 624
Endereço Virtual: 640 | Segmento: BSS | Pagina: 40 | Offset: 0 | Endereço Fisico: 640
Endereço Virtual: 656 | Segmento: BSS | Pagina: 41 | Offset: 0 | Endereço Fisico: 656
Endereço Virtual: 672 | Segmento: BSS | Pagina: 42 | Offset: 0 | Endereço Fisico: 672
Endereço Virtual: 688 | Segmento: BSS | Pagina: 43 | Offset: 0 | Endereço Fisico: 688
Endereço Virtual: 704 | Segmento: BSS | Pagina: 44 | Offset: 0 | Endereço Fisico: 704
Endereço Virtual: 720 | Segmento: BSS | Pagina: 45 | Offset: 0 | Endereço Fisico: 720
Endereço Virtual: 736 | Segmento: BSS | Pagina: 46 | Offset: 0 | Endereço Fisico: 736
Endereço Virtual: 752 | Segmento: BSS | Pagina: 47 | Offset: 0 | Endereço Fisico: 752
Endereço Virtual: 768 | Segmento: BSS | Pagina: 48 | Offset: 0 | Endereço Fisico: 768
Endereço Virtual: 784 | Segmento: BSS | Pagina: 49 | Offset: 0 | Endereço Fisico: 784
Endereço Virtual: 800 | Segmento: BSS | Pagina: 50 | Offset: 0 | Endereço Fisico: 800
Endereço Virtual: 816 | Segmento: BSS | Pagina: 51 | Offset: 0 | Endereço Fisico: 816
Endereço Virtual: 832 | Segmento: BSS | Pagina: 52 | Offset: 0 | Endereço Fisico: 832
Endereço Virtual: 848 | Segmento: BSS | Pagina: 53 | Offset: 0 | Endereço Fisico: 848
Endereço Virtual: 864 | Segmento: BSS | Pagina: 54 | Offset: 0 | Endereço Fisico: 864
Endereço Virtual: 880 | Segmento: BSS | Pagina: 55 | Offset: 0 | Endereço Fisico: 880
Endereço Virtual: 896 | Segmento: BSS | Pagina: 56 | Offset: 0 | Endereço Fisico: 896
Endereço Virtual: 912 | Segmento: BSS | Pagina: 57 | Offset: 0 | Endereço Fisico: 912
Endereço Virtual: 928 | Segmento: BSS | Pagina: 58 | Offset: 0 | Endereço Fisico: 928
Endereço Virtual: 944 | Segmento: BSS | Pagina: 59 | Offset: 0 | Endereço Fisico: 944
Endereço Virtual: 960 | Segmento: BSS | Pagina: 60 | Offset: 0 | Endereço Fisico: 960
Endereço Virtual: 976 | Segmento: BSS | Pagina: 61 | Offset: 0 | Endereço Fisico: 976
Endereço Virtual: 992 | Segmento: BSS | Pagina: 62 | Offset: 0 | Endereço Fisico: 992
Endereço Virtual: 1008 | Segmento: BSS | Pagina: 63 | Offset: 0 | Endereço Fisico: 1008
Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 16 | Segmento: TEXT | Pagina: 1 | Offset: 0 | Endereço Fisico: 16
Endereço Virtual: 32 | Segmento: TEXT | Pagina: 2 | Offset: 0 | Endereço Fisico: 32
Endereço Virtual: 48 | Segmento: TEXT | Pagina: 3 | Offset: 0 | Endereço Fisico: 48
Endereço Virtual: 64 | Segmento: TEXT | Pagina: 4 | Offset: 0 | Endereço Fisico: 64
Endereço Virtual: 80 | Segmento: TEXT | Pagina: 5 | Offset: 0 | Endereço Fisico: 80
Endereço Virtual: 96 | Segmento: TEXT | Pagina: 6 | Offset: 0 | Endereço Fisico: 96
Endereço Virtual: 112 | Segmento: TEXT | Pagina: 7 | Offset: 0 | Endereço Fisico: 112
Endereço Virtual: 128 | Segmento: DATA | Pagina: 8 | Offset: 0 | Endereço Fisico: 128
Endereço Virtual: 144 | Segmento: DATA | Pagina: 9 | Offset: 0 | Endereço Fisico: 144
Endereço Virtual: 160 | Segmento: DATA | Pagina: 10 | Offset: 0 | Endereço Fisico: 160
Endereço Virtual: 176 | Segmento: DATA | Pagina: 11 | Offset: 0 | Endereço Fisico: 176
Endereço Virtual: 192 | Segmento: DATA | Pagina: 12 | Offset: 0 | Endereço Fisico: 192
Endereço Virtual: 208 | Segmento: DATA | Pagina: 13 | Offset: 0 | Endereço Fisico: 208
Endereço Virtual: 224 | Segmento: DATA | Pagina: 14 | Offset: 0 | Endereço Fisico: 224
Endereço Virtual: 240 | Segmento: DATA | Pagina: 15 | Offset: 0 | Endereço Fisico: 240
Endereço Virtual: 256 | Segmento: STACK | Pagina: 16 | Offset: 0 | Endereço Fisico: 256
Endereço Virtual: 272 | Segmento: STACK | Pagina: 17 | Offset: 0 | Endereço Fisico: 272
Endereço Virtual: 288 | Segmento: STACK | Pagina: 18 | Offset: 0 | Endereço Fisico: 288
Endereço Virtual: 304 | Segmento: STACK | Pagina: 19 | Offset: 0 | Endereço Fisico: 304
Endereço Virtual: 320 | Segmento: STACK | Pagina: 20 | Offset: 0 | Endereço Fisico: 320
Endereço Virtual: 336 | Segmento: STACK | Pagina: 21 | Offset: 0 | Endereço Fisico: 336
Endereço Virtual: 352 | Segmento: STACK | Pagina: 22 | Offset: 0 | Endereço Fisico: 352
Endereço Virtual: 368 | Segmento: STACK | Pagina: 23 | Offset: 0 | Endereço Fisico: 368
Endereço Virtual: 384 | Segmento: BSS | Pagina: 24 | Offset: 0 | Endereço Fisico: 384
Endereço Virtual: 400 | Segmento: BSS | Pagina: 25 | Offset: 0 | Endereço Fisico: 400
Endereço Virtual: 416 | Segmento: BSS | Pagina: 26 | Offset: 0 | Endereço Fisico: 416
Endereço Virtual: 432 | Segmento: BSS | Pagina: 27 | Offset: 0 | Endereço Fisico: 432
Endereço Virtual: 448 | Segmento: BSS | Pagina: 28 | Offset: 0 | Endereço Fisico: 448
Endereço Virtual: 464 | Segmento: BSS | Pagina: 29 | Offset: 0 | Endereço Fisico: 464
Endereço Virtual: 480 | Segmento: BSS | Pagina: 30 | Offset: 0 | Endereço Fisico: 480
Endereço Virtual: 496 | Segmento: BSS | Pagina: 31 | Offset: 0 | Endereço Fisico: 496
Endereço Virtual: 512 | Segmento: BSS | Pagina: 32 | Offset: 0 | Endereço Fisico: 512
Endereço Virtual: 528 | Segmento: BSS | Pagina: 33 | Offset: 0 | Endereço Fisico: 528
Endereço Virtual: 544 | Segmento: BSS | Pagina: 34 | Offset: 0 | Endereço Fisico: 544
Endereço Virtual: 560 | Segmento: BSS | Pagina: 35 | Offset: 0 | Endereço Fisico: 560
Endereço Virtual: 576 | Segmento: BSS | Pagina: 36 | Offset: 0 | Endereço Fisico: 576
Endereço Virtual: 592 | Segmento: BSS | Pagina: 37 | Offset: 0 | Endereço Fisico: 592
Endereço Virtual: 608 | Segmento: BSS | Pagina: 38 | Offset: 0 | Endereço Fisico: 608
Endereço Virtual: 624 | Segmento: BSS | Pagina: 39 | Offset: 0 | Endereço Fisico: 624
Endereço Virtual: 640 | Segmento: BSS | Pagina: 40 | Offset: 0 | Endereço Fisico: 640
Endereço Virtual: 656 | Segmento: BSS | Pagina: 41 | Offset: 0 | Endereço Fisico: 656
Endereço Virtual: 672 | Segmento: BSS | Pagina: 42 | Offset: 0 | Endereço Fisico: 672
Endereço Virtual: 688 | Segmento: BSS | Pagina: 43 | Offset: 0 | Endereço Fisico: 688
Endereço Virtual: 704 | Segmento: BSS | Pagina: 44 | Offset: 0 | Endereço Fisico: 704
Endereço Virtual: 720 | Segmento: BSS | Pagina: 45 | Offset: 0 | Endereço Fisico: 720
Endereço Virtual: 736 | Segmento: BSS | Pagina: 46 | Offset: 0 | Endereço Fisico: 736
Endereço Virtual: 752 | Segmento: BSS | Pagina: 47 | Offset: 0 | Endereço Fisico: 752
Endereço Virtual: 768 | Segmento: BSS | Pagina: 48 | Offset: 0 | Endereço Fisico: 768
Endereço Virtual: 784 | Segmento: BSS | Pagina: 49 | Offset: 0 | Endereço Fisico: 784
Endereço Virtual: 800 | Segmento: BSS | Pagina: 50 | Offset: 0 | Endereço Fisico: 800
Endereço Virtual: 816 | Segmento: BSS | Pagina: 51 | Offset: 0 | Endereço Fisico: 816
Endereço Virtual: 832 | Segmento: BSS | Pagina: 52 | Offset: 0 | Endereço Fisico: 832
Endereço Virtual: 848 | Segmento: BSS | Pagina: 53 | Offset: 0 | Endereço Fisico: 848
Endereço Virtual: 864 | Segmento: BSS | Pagina: 54 | Offset: 0 | Endereço Fisico: 864
Endereço Virtual: 880 | Segmento: BSS | Pagina: 55 | Offset: 0 | Endereço Fisico: 880
Endereço Virtual: 896 | Segmento: BSS | Pagina: 56 | Offset: 0 | Endereço Fisico: 896
Endereço Virtual: 912 | Segmento: BSS | Pagina: 57 | Offset: 0 | Endereço Fisico: 912
Endereço Virtual: 928 | Segmento: BSS | Pagina: 58 | Offset: 0 | Endereço Fisico: 928
Endereço Virtual: 944 | Segmento: BSS | Pagina: 59 | Offset: 0 | Endereço Fisico: 944
Endereço Virtual: 960 | Segmento: BSS | Pagina: 60 | Offset: 0 | Endereço Fisico: 960
Endereço Virtual: 976 | Segmento: BSS | Pagina: 61 | Offset: 0 | Endereço Fisico: 976
Endereço Virtual: 992 | Segmento: BSS | Pagina: 62 | Offset: 0 | Endereço Fisico: 992
Endereço Virtual: 1008 | Segmento: BSS | Pagina: 63 | Offset: 0 | Endereço Fisico: 1008
Endereço Virtual: 0 | Segmento: TEXT | Pagina: 0 | Offset: 0 | Endereço Fisico: 0
Endereço Virtual: 16 | Segmento: TEXT | Pagina: 1 | Offset: 0 | Endereço Fisico: 16
Endereço Virtual: 32 | Segmento: TEXT | Pagina: 2 | Offset: 0 | Endereço Fisico: 32
Endereço Virtual: 48 | Segmento: TEXT | Pagina: 3 | Offset: 0 | Endereço Fisico: 48
Endereço Virtual: 64 | Segmento: TEXT | Pagina: 4 | Offset: 0 | Endereço Fisico: 64
Endereço Virtual: 80 | Segmento: TEXT | Pagina: 5 | Offset: 0 | Endereço Fisico: 80
Endereço Virtual: 96 | Segmento: TEXT | Pagina: 6 | Offset: 0 | Endereço Fisico: 96
Endereço Virtual: 112 | Segmento: TEXT | Pagina: 7 | Offset: 0 | Endereço Fisico: 112
Endereço Virtual: 128 | Segmento: DATA | Pagina: 8 | Offset: 0 | Endereço Fisico: 128
Endereço Virtual: 144 | Segmento: DATA | Pagina: 9 | Offset: 0 | Endereço Fisico: 144
Endereço Virtual: 160 | Segmento: DATA | Pagina: 10 | Offset: 0 | Endereço Fisico: 160
Endereço Virtual: 176 | Segmento: DATA | Pagina: 11 | Offset: 0 | Endereço Fisico: 176
Endereço Virtual: 192 | Segmento: DATA | Pagina: 12 | Offset: 0 | Endereço Fisico: 192
Endereço Virtual: 208 | Segmento: DATA | Pagina: 13 | Offset: 0 | Endereço Fisico: 208
Endereço Virtual: 224 | Segmento: DATA | Pagina: 14 | Offset: 0 | Endereço Fisico: 224
Endereço Virtual: 240 | Segmento: DATA | Pagina: 15 | Offset: 0 | Endereço Fisico: 240
